,championName,perk1,perk2,perk3,skill1,skill2,sumSpell1,sumSpell2,weak1,weak2,weak3,weak4,weak5,strong1,strong2,strong3,strong4,strong5
48,Twitch,Precision,Lethal Tempo,Inspiration,"['E', 'Q', 'W']","['Q', 'E', 'W', 'E', 'E', 'R', 'E', 'Q', 'E', 'Q', 'R', 'Q', 'Q', 'W', 'W']",Flash,Ghost,"['Nilah', '42.5%', '360']","['Yasuo', '44.28%', '542']","['Ziggs', '47.97%', '1,132']","['Samira', '48.35%', '3,450']","['Lucian', '48.79%', '7,120']","['Aphelios', '57.52%', '2,067']","['Zeri', '54.95%', '1,061']","['Sivir', '53.79%', '1,292']","['Jinx', '53.61%', '4,951']","['Kalista', '53.24%', '1,572']"
49,Qiyana,Domination,Electrocute,Precision,"['Q', 'W', 'E']","['W', 'Q', 'E', 'Q', 'Q', 'R', 'Q', 'W', 'Q', 'W', 'R', 'W', 'W', 'E', 'E']",Flash,Ignite,"['Sett', '39.86%', '138']","['Malphite', '41.74%', '436']","['Swain', '43.08%', '195']","['Tristana', '43.37%', '166']","['Morgana', '43.97%', '141']","['Ziggs', '58.96%', '134']","['Hwei', '56.9%', '2,079']","['Aurelionsol', '55.7%', '298']","['Taliyah', '55.63%', '160']","['Kassadin', '55.42%', '166']"
50,Renekton,Precision,Conqueror,Resolve,"['Q', 'E', 'W']","['Q', 'E', 'W', 'Q', 'Q', 'R', 'Q', 'E', 'Q', 'E', 'R', 'E', 'E', 'W', 'W']",Flash,Teleport,"['Illaoi', '41.69%', '4,157']","['Garen', '44.48%', '3,919']","['Ornn', '44.69%', '2,233']","['Tahmkench', '44.99%', '1,207']","['Drmundo', '45.1%', '1,550']","['Riven', '55.16%', '6,213']","['Yasuo', '53.92%', '3,574']","['Akali', '53.86%', '3,602']","['Irelia', '53.6%', '4,134']","['Yone', '53.14%', '15,492']"
51,Bel'Veth,Precision,Conqueror,Inspiration,"['Q', 'E', 'W']","['Q', 'E', 'W', 'Q', 'Q', 'R', 'Q', 'E', 'Q', 'E', 'R', 'E', 'E', 'W', 'W']",Flash,Smite,"['Ivern', '44.95%', '961']","['Rammus', '45.16%', '2,748']","['Poppy', '46.28%', '2,664']","['Brand', '47.04%', '1,675']","['Xinzhao', '47.16%', '1,796']","['Gwen', '55.81%', '353']","['Rengar', '54.13%', '617']","['Trundle', '53.33%', '1,230']","['Nidalee', '52.67%', '4,845']","['Sylas', '52.67%', '3,687']"
52,Aphelios,Precision,Fleet Footwork,Sorcery,"['Q', 'E', 'W']","['Q', 'Q', 'Q', 'E', 'Q', 'E', 'Q', 'E', 'Q', 'E', 'E', 'E', 'W', 'W', 'W']",Flash,Ghost,"['Swain', '41.89%', '697']","['Twitch', '42.48%', '2,067']","['Ziggs', '44.98%', '2,708']","['Nilah', '45.97%', '905']","['Samira', '46.73%', '10,157']","['Zeri', '52.84%', '3,418']","['Kaisa', '51.58%', '22,412']","['Xayah', '50.25%', '9,164']",None,None
53,Lucian,Precision,Press the Attack,Inspiration,"['Q', 'E', 'W']","['Q', 'E', 'W', 'Q', 'Q', 'R', 'Q', 'E', 'Q', 'E', 'R', 'E', 'E', 'W', 'W']",Flash,Heal,"['Swain', '45.59%', '2,764']","['Ziggs', '47.88%', '11,834']","['Jhin', '49.43%', '64,949']","['Caitlyn', '49.5%', '78,049']","['Ashe', '49.53%', '43,661']","['Zeri', '54.91%', '11,165']","['Kaisa', '53.18%', '99,662']","['Tristana', '52.58%', '10,884']","['Aphelios', '52.23%', '21,430']","['Nilah', '52.19%', '4,520']"
54,Viego,Precision,Conqueror,Inspiration,"['Q', 'E', 'W']","['Q', 'W', 'E', 'Q', 'Q', 'R', 'Q', 'E', 'Q', 'E', 'R', 'E', 'E', 'W', 'W']",Flash,Smite,"['Rammus', '43.99%', '5,158']","['Fiddlesticks', '45.05%', '3,092']","['Shaco', '46.13%', '7,180']","['Karthus', '46.28%', '3,602']","['Reksai', '46.32%', '1,550']","['Gwen', '54.1%', '756']","['Zed', '53.77%', '809']","['Monkeyking', '52.28%', '1,995']","['Jarvaniv', '52.09%', '8,985']","['Hecarim', '51.99%', '3,566']"
55,Cassiopeia,Precision,Conqueror,Sorcery,"['E', 'Q', 'W']","['E', 'Q', 'W', 'E', 'E', 'R', 'E', 'Q', 'E', 'Q', 'R', 'Q', 'Q', 'W', 'W']",Flash,Teleport,"['Morgana', '45.37%', '216']","['Qiyana', '45.54%', '303']","['Aurelionsol', '45.92%', '331']","['Ziggs', '46.36%', '151']","['Twistedfate', '46.36%', '1,113']","['Hwei', '58.06%', '1,843']","['Nunu', '56.65%', '203']","['Pantheon', '56.3%', '460']","['Lissandra', '55.31%', '754']","['Vladimir', '54.89%', '552']"
56,Singed,Precision,Conqueror,Sorcery,"['Q', 'E', 'W']","['Q', 'E', 'W', 'Q', 'Q', 'R', 'Q', 'E', 'Q', 'E', 'R', 'E', 'E', 'W', 'W']",Flash,Ghost,"['Urgot', '44.21%', '337']","['Kayle', '46.86%', '1,035']","['Vayne', '47.03%', '489']","['Rengar', '47.79%', '339']","['Drmundo', '48.24%', '709']","['Gragas', '62.5%', '184']","['Gwen', '58.58%', '903']","['Akali', '58.23%', '924']","['Tryndamere', '58.17%', '667']","['Aatrox', '57.66%', '4,941']"
57,Fizz,Domination,Electrocute,Precision,"['E', 'W', 'Q']","['E', 'W', 'Q', 'E', 'E', 'R', 'E', 'W', 'E', 'W', 'R', 'W', 'W', 'Q', 'Q']",Flash,Ignite,"['Sett', '46.95%', '492']","['Galio', '47.18%', '3,368']","['Kassadin', '47.28%', '2,113']","['Lissandra', '47.71%', '3,056']","['Gangplank', '47.86%', '468']","['Hwei', '61.83%', '8,359']","['Aurelionsol', '58.3%', '1,096']","['Brand', '57.81%', '1,012']","['Ziggs', '57.31%', '581']","['Taliyah', '56.35%', '394']"
58,Vladimir,Sorcery,Phase Rush,Inspiration,"['Q', 'E', 'W']","['Q', 'E', 'W', 'Q', 'Q', 'R', 'Q', 'E', 'Q', 'E', 'R', 'E', 'E', 'W', 'W']",Flash,Ghost,"['Malzahar', '42.31%', '995']","['Anivia', '43.42%', '532']","['Brand', '44.54%', '366']","['Cassiopeia', '45.11%', '552']","['Taliyah', '45.45%', '165']","['Hwei', '54.21%', '2,256']","['Leblanc', '53.96%', '2,094']","['Lux', '53.94%', '634']","['Corki', '53.92%', '319']","['Yasuo', '53.38%', '4,301']"
59,Kog'Maw,Precision,Lethal Tempo,Resolve,"['W', 'Q', 'E']","['W', 'Q', 'E', 'W', 'W', 'R', 'W', 'Q', 'W', 'Q', 'R', 'Q', 'Q', 'E', 'E']",Flash,Ghost,"['Ziggs', '45.5%', '444']","['Nilah', '46.38%', '138']","['Twitch', '47.92%', '384']","['Swain', '48.48%', '99']","['Jhin', '49.73%', '2,383']","['Yasuo', '57.01%', '214']","['Draven', '56.89%', '573']","['Zeri', '56.49%', '485']","['Tristana', '55.62%', '507']","['Kalista', '54.95%', '828']"
60,Sett,Precision,Conqueror,Resolve,"['Q', 'W', 'E']","['E', 'W', 'Q', 'Q', 'Q', 'R', 'Q', 'W', 'Q', 'W', 'R', 'W', 'W', 'E', 'E']",Flash,Teleport,"['Volibear', '43.64%', '4,008']","['Singed', '44.48%', '1,050']","['Poppy', '45.2%', '1,146']","['Urgot', '45.71%', '1,013']","['Zac', '46.48%', '1,009']","['Sylas', '57.08%', '1,328']","['Udyr', '57.01%', '542']","['Chogath', '55.86%', '836']","['Yasuo', '55.2%', '2,422']","['Heimerdinger', '54.83%', '611']"
61,Sona,Sorcery,Summon Aery,Precision,"['W', 'Q', 'E']","['Q', 'W', 'E', 'W', 'W', 'R', 'W', 'Q', 'W', 'Q', 'R', 'Q', 'Q', 'E', 'E']",Flash,Ignite,"['Fiddlesticks', '41.67%', '180']","['Galio', '43.28%', '134']","['Taric', '44.29%', '140']","['Heimerdinger', '44.94%', '336']","['Amumu', '45.06%', '324']","['Hwei', '58.58%', '816']","['Missfortune', '57.07%', '622']","['Yuumi', '54.36%', '1,871']","['Veigar', '53.98%', '226']","['Teemo', '53%', '283']"
62,Kayn,Sorcery,Summon Aery,Domination,"['Q', 'W', 'E']","['Q', 'E', 'W', 'Q', 'Q', 'R', 'Q', 'W', 'Q', 'W', 'R', 'W', 'W', 'E', 'E']",Flash,Smite,"['Ivern', '46.89%', '1,431']","['Briar', '47.13%', '9,892']","['Nocturne', '47.22%', '18,544']","['Fiddlesticks', '47.33%', '3,410']","['Elise', '47.4%', '3,019']","['Zed', '53.73%', '817']","['Monkeyking', '52.96%', '2,079']","['Gwen', '52.49%', '682']","['Pantheon', '52.43%', '803']","['Jarvaniv', '52.2%', '8,261']"
