Champion,QName,QDescription,WName,WDescription,EName,EDescription,RName,RDescription,PName,PDescription
Yasuo,Steel Tempest,"Thrusts forward, damaging all enemies in a line.  On hit, grants a stack of Gathering Storm for a few seconds. At 2 stacks, Steel Tempest fires a whirlwind that knocks <font color='#6655CC'>Airborne</font>.  Steel Tempest is treated as a basic attack and scales with all the same things.",Wind Wall,Creates a moving wall that blocks all enemy projectiles for 4 seconds.,Sweeping Blade,"Dashes through target enemy, dealing magic damage. Each cast increases subsequent dash's damage, up to a max amount.  Cannot be re-cast on the same enemy for a few seconds.  <font color='#99FF99'>If Steel Tempest is cast while dashing, it will strike as a circle.</font>",Last Breath,"Blinks to an <factionIonia1>Airborne</factionIonia1> enemy champion, dealing physical damage and holding all <factionIonia1>Airborne</factionIonia1> enemies in the area in the air. Grants maximum Flow but resets all stacks of Gathering Storm.  For a moderate time afterwards, Yasuo's critical strikes gain significant Bonus Armor Penetration.",Way of the Wanderer,"Yasuo's Critical Strike Chance is increased. Additionally, Yasuo builds toward a shield whenever he is moving. The shield triggers when he takes damage from a champion or monster."
DrMundo,Infected Bonesaw,"Dr. Mundo throws an infected bonesaw, dealing damage to the first enemy hit based on their current health and slowing them.",Heart Zapper,"Dr. Mundo electrocutes himself, dealing persistent damage to nearby enemies and storing a portion of damage he takes. At the end of the duration or on Recast, Dr. Mundo deals a burst of damage to nearby enemies. If the burst hit an enemy, he heals a percentage of the stored damage.",Blunt Force Trauma,"Passive - Dr. Mundo gains bonus Attack Damage, increasing based on his max Health.  Active - Dr. Mundo slams his “medical” bag into an enemy, dealing additional damage based on his missing Health. If the enemy dies they are swatted away, dealing damage to enemies they pass through.",Maximum Dosage,"Dr. Mundo pumps himself with chemicals, instantly healing a percent of his missing Health. He then gains Move Speed and regenerates a portion of his maximum Health over a long duration.",Goes Where He Pleases,"Dr. Mundo resists the first Immobilizing effect that hits him, instead losing Health and dropping a chemical cannister nearby. Dr. Mundo can pick it up by walking over it, restoring Health and reducing this Ability's Cooldown.  Dr. Mundo also has significantly increased Health regeneration. "
Syndra,Dark Sphere,Syndra conjures a Dark Sphere dealing magic damage. The sphere remains and can be manipulated by her other powers.,Force of Will,Syndra picks up and throws a Dark Sphere or enemy minion dealing magic damage and slowing the Move Speed of enemies.,Scatter the Weak,Syndra knocks enemies and Dark Spheres back dealing magic damage. Enemies hit by Dark Spheres become stunned.,Unleashed Power,Syndra bombards an enemy Champion with all of her Dark Spheres.,Transcendent,Syndra collects Splinters of Wrath from gaining levels and damaging enemies which upgrade her abilities.  <font color='#FF9900'>Dark Sphere</font>: Syndra can hold an additional charge <font color='#FF9900'>Force of Will</font>: Bonus true damage. <font color='#FF9900'>Scatter the Weak</font>: Increased width and slows all targets <font color='#FF9900'>Unleashed Power</font>: Executes low health targets
Olaf,Undertow,"Olaf throws an axe into the ground at a target location, dealing damage to enemies it passes through and reducing their Armor and Move Speed. If Olaf picks up the axe, the ability's cooldown is reset.",Tough It Out,"Olaf's Attack Speed is increased, he reduces incoming damage, and he gains a Shield.",Reckless Swing,"Olaf attacks with such force that it deals true damage to his target and himself, refunding the Health cost if he destroys the target.",Ragnarok,Olaf passively gains increased armor and magic resist. He can activate this ability to become immune to disables for as long as he keeps attacking.,Berserker Rage,Olaf gains Attack Speed and Life Steal based on his missing Health.
Ahri,Orb of Deception,"Ahri sends out and pulls back her orb, dealing magic damage on the way out and true damage on the way back. ",Fox-Fire,"Ahri gains a brief burst of Move Speed and releases three fox-fires, that lock onto and attack nearby enemies.",Charm,"Ahri blows a kiss that damages and charms an enemy it encounters, instantly stopping movement abilities and causing them to walk harmlessly towards her.",Spirit Rush,"Ahri dashes forward and fires essence bolts, damaging nearby enemies. Spirit Rush can be cast up to three times before going on cooldown, and gains additional recasts when taking down enemy champions.",Essence Theft,"After killing 9 minions or monsters, Ahri heals. After taking down an enemy champion, Ahri heals for a greater amount."
Blitzcrank,Rocket Grab,"Blitzcrank fires their right hand to grab an opponent on its path, dealing damage and dragging it back to them.",Overdrive,Blitzcrank super charges themself to get dramatically increased Move and Attack Speed. They are temporarily slowed after the effect ends.,Power Fist,Blitzcrank charges up their fist to make the next attack deal double damage and pop their target up in the air.,Static Field,"Enemies attacked by Blitzcrank are marked and take lightning damage after 1 second. Additionally, Blitzcrank can activate this ability to remove nearby enemies' shields, damage them, and silence them briefly.",Mana Barrier,Blitzcrank gains a shield based on their mana when dropping to low health.
Swain,Death's Hand,Swain unleashes several bolts of eldritch power that pierce through enemies. Enemies hit take more damage for each bolt they are struck by.,Vision of Empire,Swain opens a demon eye that deals damage and slows enemies. Champions hit are revealed and also grant Swain a Soul Fragment.,Nevermove,Swain launches a wave of demonic power forward. It then returns to Swain and roots enemies it hits. Swain can then choose to pull all rooted champions closer. This ability has a shorter cooldown during Demonic Ascension.,Demonic Ascension,"Swain transforms into a demon and drains health from nearby enemy champions, minions, and neutral monsters. Swain can cast Demonflare to decimate and slow nearby enemies with a nova of soulfire. This form is indefinite as long as Swain drains enemy champions.",Ravenous Flock,Swain's ravens collect <i>Soul Fragments</i> that heal him and permanently increase his maximum health.
Diana,Crescent Strike,"Unleashes a bolt of lunar energy in an arc dealing magic damage.  Afflicts enemies struck with Moonlight, revealing them if they are not stealthed for 3 seconds.",Pale Cascade,"Diana creates three orbiting spheres that detonate on contact with enemies to deal damage in an area. She also gains a temporary shield that absorbs damage. If her third sphere detonates, the shield gains additional strength.",Lunar Rush,"Becomes the living embodiment of the vengeful moon, dashing to an enemy and dealing magic damage.  Lunar Rush has no cooldown when used to dash to an enemy afflicted with Moonlight. All other enemies will have the Moonlight debuff removed regardless of whether they were the target of Lunar Rush.",Moonfall,"Diana reveals and draws in all nearby enemies and slows them.  If Diana pulls in one or more enemy champions, the moonlight crashes down onto her after a short delay, dealing magic damage in an area around her, increased for each target beyond the first pulled.",Moonsilver Blade,"Every third strike cleaves nearby enemies for an additional magic damage. After casting a spell, Diana gains Attack Speed for her next 3 attacks."
Zeri,Burst Fire,Burst Fire shoots a burst of 7 rounds that deal attack damage to the first enemy hit. This Ability is treated as an Attack.,Ultrashock Laser,Zeri fires an electric pulse that slows and damages the first enemy hit. If the pulse hits a wall it expands into a long range laser.,Spark Surge,"Zeri dashes a short distance and energizes her next 3 shots of Burst Fire, causing them to pierce through enemies. She will vault and grind over any terrain she touches.",Lightning Crash,"Zeri discharges a nova of electricity and overcharges herself, gaining increased damage and stacking Move Speed that refreshes and gets stronger every time she hits an enemy champion. While overcharged, Burst fire becomes a faster triple shot that chains lightning between enemies.",Living Battery,Zeri's Attacks deal magic damage and are treated as Abilities. Moving and casting Burst Fire stores up energy in Zeri's Sparkpack. When fully charged her next Attack deals bonus damage.
TahmKench,Tongue Lash,"Tahm Kench lashes out with his tongue, damaging and slowing the first unit hit and healing himself if he strikes an enemy champion.  Applies a stack of  <spellName>An Acquired Taste</spellName> to enemy champions. If the champion already has 3 stacks of <spellName>An Acquired Taste</spellName>, they are stunned and the stacks are consumed.",Abyssal Dive,"Dive down and then re-appear at target location, damaging and knocking up all enemies in an area.",Thick Skin,<passive>Passive:</passive> Tahm Kench stores a percent of the damage he takes and heals based on it while out of combat.  <active>Active:</active> Convert all stored damage into a temporary shield.,Devour,"Tahm Kench devours a champion for a few seconds, dealing magic damage if they are an enemy, or shielding them if they are an ally.",An Acquired Taste,"Tahm Kench puts the heft of his immense body behind his attacks, gaining extra damage based on his total health. Damaging enemy champions builds stacks of <spellName>An Acquired Taste</spellName>. At three stacks, he can use <spellName>Devour</spellName> on an enemy champion."
Rell,Shattering Strike,"Rell deals magic damage to units in a line, breaking their shields and stunning them. ",Ferromancy: Crash Down,"Mounted: Rell Dismounts, crashing down in her armor, Knocking enemies up and gaining a large Shield. While dismounted, she gains Armor, Magic Resist, Attack Speed, and Attack Range, but is Slowed.  Dismounted: Rell forms her Mount, gaining a burst of speed and Knocking Up the next enemy she attacks.  ",Full Tilt,"Passive: Rell gains out of combat Move Speed.  Active: Rell and an ally gain ramping Move Speed, doubled toward enemies and each other. Her next Attack explodes, dealing magic damage. ",Magnet Storm,"Rell explodes in a magnetic fury, violently Pulling nearby enemies toward herself. Then Rell constantly Drags nearby enemies toward herself for a short while, dealing magic damage over time.",Break the Mold,Rell's Attacks and Abilities steal Armor and Magic Resist on hit.
Pantheon,Comet Spear,Pantheon either thrusts his spear or throws his spear in the chosen direction.,Shield Vault,"Pantheon dashes to a target, damaging and stunning them.",Aegis Assault,"Pantheon sets his shield, becoming invulnerable to damage from the front and striking repeatedly with his spear.",Grand Starfall,"Pantheon composes himself and then leaps into the air, landing at a chosen location as a comet.",Mortal Will,"Every few spells or attacks, Pantheon's next spell is empowered."
Renekton,Cull the Meek,"Renekton swings his blade, dealing moderate physical damage to all targets around him, and heals for a small portion of the damage dealt. If he has more than 50 Fury, his damage and heal are increased.",Ruthless Predator,"Renekton slashes his target twice, dealing moderate physical damage and stuns them for 0.75 seconds. If Renekton has more than 50 Fury, he slashes his target three times, destroying damage shields on the target, dealing high physical damage, and stunning them for 1.5 seconds.",Slice and Dice,"Renekton dashes, dealing damage to units along the way. Empowered, Renekton deals bonus damage and reduces the Armor of units hit.",Dominus,"Renekton transforms into the Tyrant form, gaining bonus Health and dealing damage to enemies around him. While in this form, Renekton gains Fury periodically.",Reign of Anger,"Renekton's attacks generate Fury, increased when he is low on life. This Fury can empower his abilities with bonus effects."
Urgot,Corrosive Charge,"Fires an explosive charge at the target location, dealing physical damage and slowing enemies caught in the explosion.",Purge,Urgot slows himself while he unloads his weapon on nearby enemies. Prioritizes enemy champions Urgot has recently struck with other abilities and triggers Echoing Flames.,Disdain,"Urgot charges in a direction, shielding himself and trampling non-champion enemies. If he catches an enemy champion, he will stop and hurl them out of his way.",Fear Beyond Death,"Urgot fires a chem-drill that impales the first enemy champion hit. If that champion falls below a health threshold, Urgot judges them weak and can execute them.",Echoing Flames,"Urgot's basic attacks and Purge periodically trigger blasts of flame from his legs, dealing physical damage."
Talon,Noxian Diplomacy,"Talon stabs the target unit. If they are within melee range, this attack deals critical damage. If they are outside melee range, Talon will leap at his target before stabbing them. Talon refunds some health and cooldown if this ability kills the target.",Rake,"Talon sends out a volley of daggers that then return back to him, dealing physical damage every time it passes through an enemy. The returning blades deal bonus damage and slow units hit.",Assassin's Path,"Talon vaults over any terrain or structure, up to a max distance. This ability has a low cooldown, but puts the used terrain on a long cooldown.",Shadow Assault,"Talon disperses a ring of blades and becomes Invisible while gaining additional Move Speed. When Talon emerges from Invisibility, the blades converge on his location. Each time the blades move, Shadow Assault deals physical damage to enemies hit by at least one blade.",Blade's End,"Talon's spells Wound champions and large monsters, stacking up to 3 times. When Talon attacks a champion with 3 stacks of Wound, they bleed for heavy damage over time."
Garen,Decisive Strike,"Garen gains a burst of Move Speed, breaking free of all slows affecting him. His next attack strikes a vital area of his foe, dealing bonus damage and silencing them.",Courage,Garen passively increases his armor and magic resist by killing enemies. He may also activate this ability to give him a shield and tenacity for a brief moment followed by a lesser amount of damage reduction for a longer duration.,Judgment,"Garen rapidly spins his sword around his body, dealing physical damage to nearby enemies.",Demacian Justice,Garen calls upon the might of Demacia to attempt to execute an enemy champion.,Perseverance,"If Garen has not recently been struck by damage or enemy abilities, he regenerates a percentage of his total health each second."
Fiora,Lunge,"Fiora lunges in a direction and stabs a nearby enemy, dealing physical damage and applying on-hit effects.",Riposte,"Fiora parries all incoming damage and disables for a short time, then stabs in a direction. This stab slows the first enemy champion hit, or stuns them if Fiora blocked an immobilizing effect with this ability.",Bladework,"Fiora has increased attack speed for the next two attacks. The first attack slows the target, and the second attack will critically strike.",Grand Challenge,"Fiora reveals all four Vitals on an enemy champion and gains Move Speed while near them. If Fiora hits all four Vitals or if the target dies after she has hit at least one, Fiora and her allies in the area are healed over the next few seconds.",Duelist's Dance,"Fiora has revealed a <keywordMajor>Vital</keywordMajor> on this Champion. If she hits the <keywordMajor>Vital</keywordMajor>, she <healing>restores Health</healing> and gains <speed>Move Speed</speed>."
Evelynn,Hate Spike,"Evelynn strikes out with her Lasher, dealing damage to the first unit hit. Then, Evelynn can shoot a line of spikes at nearby foes up to 3 times.",Allure,"Evelynn curses her target, causing her next attack or spell after a delay to charm her target and reduce their magic resist.",Whiplash,"Evelynn whips her target with her Lasher, dealing damage. She then gains Move Speed for a short duration.",Last Caress,Evelynn briefly goes untargetable and decimates the area in front of her before warping backwards a long distance.,Demon Shade,"When out of combat, Evelynn enters Demon Shade. Demon Shade heals Evelynn when she is low on health and grants Camouflage after level 6."
Kindred,Dance of Arrows,Kindred tumbles and shoots up to three arrows at nearby targets.,Wolf's Frenzy,"Wolf enrages and attacks enemies around him.  Lamb passively gains stacks by moving and attacking. When fully charged, Lamb's next attack restores health.",Mounting Dread,"Lamb fires a carefully placed shot, slowing the target. If Lamb attacks the target two more times, her third attack instead directs Wolf to pounce on the enemy, savaging them for massive damage.",Lamb's Respite,"Lamb grants all living things inside a zone a respite from death. Until the effect ends, nothing can die. At the end, units are healed.",Mark of the Kindred,Kindred can mark targets to Hunt. Successfully completing a Hunt permanently empowers Kindred's basic abilities. Every 4 hunts completed also increases Kindred's basic attack range.
Galio,Winds of War,Galio fires two windblasts that converge into a large tornado that deals damage over time.,Shield of Durand,"Galio charges a defensive stance, moving slowly. Upon releasing the charge, Galio will taunt and damage nearby enemies.",Justice Punch,"Galio will briefly step back and charge, knocking up the first enemy champion he encounters.",Hero's Entrance,"Galio designates an ally's position as his landing spot, granting all allies in the area a magic shield. After a delay Galio smashes down location, knocking up nearby enemies.",Colossal Smash,"Every few seconds, Galio's next basic attack deals bonus magic damage in an area."
Teemo,Blinding Dart,"Obscures an enemy's vision with a powerful venom, dealing damage to the target unit and blinding it for the duration.",Move Quick,"Teemo scampers around, passively increasing his Move Speed until he is struck by an enemy champion or turret. Teemo can sprint to gain bonus Move Speed that isn't stopped by being struck for a short time.",Toxic Shot,"Each of Teemo's attacks will poison the target, dealing damage on impact and each second after for 4 seconds.",Noxious Trap,"Teemo throws an explosive poisonous trap using one of the mushrooms stored in his pack. If an enemy steps on the trap, it will release a poisonous cloud, slowing enemies and damaging them over time. If Teemo throws a mushroom onto another mushroom it will bounce, gaining additional range.",Guerrilla Warfare,"If Teemo stands still and takes no actions for a short duration, he becomes Invisible indefinitely. If he's in brush, Teemo can enter and maintain his Invisibility while moving. After leaving Invisibility, Teemo gains the Element of Surprise, increasing his Attack Speed for a few seconds."
Braum,Winter's Bite,"Braum propels freezing ice from his shield, slowing and dealing magic damage.  Applies a stack of <font color='#FFF673'>Concussive Blows</font>.",Stand Behind Me,"Braum leaps to a target allied champion or minion. On arrival, Braum and the ally gain Armor and Magic Resist for a few seconds.",Unbreakable,"Braum raises his shield in a direction for several seconds, intercepting all projectiles causing them to hit him and be destroyed. He negates the damage of the first attack completely and reduces the damage of all subsequent attacks from this direction.",Glacial Fissure,"Braum slams the ground, knocking up enemies nearby and in a line in front of him. A fissure is left along the line that slows enemies.",Concussive Blows,"Braum's basic attacks apply Concussive Blows. Once the first stack is applied, <font color='#FFF673'>ally</font> basic attacks also stack Concussive Blows. Upon reaching 4 stacks, the target is stunned and takes magic damage. For the next few seconds they cannot receive new stacks, but take bonus magic damage from Braum's attacks."
Yorick,Last Rites,Yorick deals bonus damage on his next attack and heals himself. If the target dies a grave will be dug.,Dark Procession,Yorick summons a destructible wall at target location that will block enemy movement.,Mourning Mist,"Yorick throws a globule of Black Mist that damages, slows and marks enemies.",Eulogy of the Isles,Yorick summons the Maiden of the Mist that causes Yorick's attacks against the Maiden's target to deal bonus damage. The Maiden will also automatically raise Walkers from dead enemies.,Shepherd of Souls,<font color='#FF9900'>The Cursed Horde:</font> Yorick can summon Mist Walkers to swarm and attack nearby enemies.
Nunu,Consume,"Willump takes a bite out of a minion, monster, or enemy champion, dealing damage and healing himself.",Biggest Snowball Ever!,Willump creates a snowball that grows in size and speed as he rolls it.  The snowball damages and knocks up enemies.,Snowball Barrage,"Nunu throws multiple snowballs that damage enemies.  When he's finished, Willump roots any champions or large monsters that were hit by a snowball.",Absolute Zero,Nunu & Willump create a powerful blizzard in an area that slows enemies and deals massive damage at the end.,Call of the Freljord,"Nunu increases the attack speed and Move Speed of Willump and a nearby ally, and causes Willump's basic attacks to damage enemies around the target."
Darius,Decimate,Darius winds up and swings his axe in a wide circle. Enemies struck by the blade take more damage than those struck by the handle. Darius heals based on enemy champions and large monsters hit by the blade.,Crippling Strike,"Darius's next attack strikes an enemy's crucial artery. As they bleed out, their Move Speed is slowed.",Apprehend,"Darius hones his axe, passively causing his physical damage to ignore a percentage of his target's Armor. When activated, Darius sweeps up his enemies with his axe's hook and pulls them to him.",Noxian Guillotine,"Darius leaps to an enemy champion and strikes a lethal blow, dealing true damage. This damage is increased for each stack of Hemorrhage on the target. If Noxian Guillotine is a killing blow, its cooldown is refreshed for a brief duration.",Hemorrhage,"Darius' attacks and damaging abilities cause enemies to bleed for physical damage over 5 seconds, stacking up to 5 times. Darius enrages and gains massive Attack Damage when his target reaches max stacks."
Lissandra,Ice Shard,"Throws a spear of ice that shatters when it hits an enemy, dealing magic damage and slowing Move Speed. Shards pass through the target, dealing the same damage to other enemies hit.",Ring of Frost,"Freezes nearby enemies in ice, dealing magic damage and rooting them.",Glacial Path,Lissandra creates an ice claw that deals magic damage. Reactivating this ability transports Lissandra to the claw's current location.,Frozen Tomb,"If cast on an enemy champion, the target is frozen solid, stunning it. If cast on Lissandra, she encases herself in dark ice, healing herself while becoming untargetable and invulnerable. Dark ice then emanates from the target dealing magic damage to enemies and slowing Move Speed.",Iceborn Subjugation,"When an enemy champion dies near Lissandra they become a Frozen Thrall. Frozen Thralls slow nearby enemies and then, after a delay, shatter from the intense cold, dealing magic damage to nearby targets."
Gangplank,Parrrley,"Shoots target, plundering Gold for each enemy unit killed.",Remove Scurvy,Eats citrus to cure crowd control effects and restore Health.,Powder Keg,"Gangplank uncovers a powder keg at target location. If he attacks it, it explodes, spreading the attack's damage to enemies in the area, slowing them.",Cannon Barrage,"Gangplank signals his ship to bombard an area, slowing and damaging enemies.",Trial by Fire,"Every few seconds, Gangplank's melee strike will set his opponent on fire."
Nocturne,Duskbringer,"Nocturne throws a shadow blade that deals damage, leaves a Dusk Trail, and causes champions to leave a Dusk Trail. While on the trail, Nocturne can move through units and has increased Move Speed and Attack Damage.",Shroud of Darkness,"Nocturne empowers his blades, passively gaining Attack Speed. Activating Shroud of Darkness allows Nocturne to fade into the shadows, creating a magical barrier which blocks a single enemy ability and doubles his passive Attack Speed if successful.",Unspeakable Horror,"Nocturne plants a nightmare into his target's mind, dealing damage each second and applying fear to the target if they do not get out of range by the end of the duration.",Paranoia,Nocturne reduces the sight radius of all enemy champions and removes their ally vision in the process. He can then launch himself at a nearby enemy champion.,Umbra Blades,"Every few seconds, Nocturne's next attack strikes surrounding enemies for bonus physical damage and heals himself. Nocturne's basic attacks reduce this cooldown."
Rakan,Gleaming Quill,Flings a magical feather that deals magic damage. Striking a champion or epic monster enables Rakan to heal his allies.,Grand Entrance,"Dashes to a location, knocking up nearby enemies on arrival.",Battle Dance,Flies to an allied champion granting them a shield. Can be re-cast for free for a short duration.,The Quickness,"Gains Move Speed, charming and dealing magic damage to enemies touched.",Fey Feathers,Rakan periodically gains a shield.
Alistar,Pulverize,"Alistar smashes the ground, dealing damage to nearby enemies and tossing them into the air.",Headbutt,"Alistar rams a target with his head, dealing damage and knocking the target back.",Trample,"Alistar tramples nearby enemy units, ignoring unit collision and gaining stacks if he damages an enemy champion. At full stacks Alistar's next basic attack against an enemy champion deals additional magic damage and stuns them.",Unbreakable Will,"Alistar lets out a wild roar, removing all crowd control effects on himself, and reducing incoming physical and magical damage for the duration.",Triumphant Roar,Alistar charges his roar by stunning or displacing enemy champions or when nearby enemies die. When fully charged he heals himself all nearby allied champions.
Velkoz,Plasma Fission,Vel'Koz shoots a bolt of plasma that splits in two on reactivation or upon hitting an enemy. The bolt slows and damages on hit.,Void Rift,"Vel'Koz opens a rift to the void that deals an initial burst of damage, then explodes for a second burst of damage after a delay.",Tectonic Disruption,"Vel'Koz causes an area to explode, knocking up enemies, and knocking close enemies slightly away.",Life Form Disintegration Ray,Vel'Koz unleashes a channelled beam that follows the cursor for 2.5 seconds that deals magic damage. Organic Deconstruction Researches enemy champions causing them to take true damage instead.,Organic Deconstruction,"Vel'Koz's abilities apply <keywordName>Organic Deconstruction</keywordName> to enemies on hit. If 3 stacks are accumulated, the enemy will take a burst of true damage."
Volibear,Thundering Smash,"Volibear gains speed towards enemies, <status>Stunning</status> and damaging the first one he Attacks.",Frenzied Maul,"Volibear damages an enemy, applying on-hit effects and marking them.  Casting this ability again on the same target deals bonus damage and Heals Volibear.",Sky Splitter,"Volibear summons a lightning bolt at a location, dealing damage and Slowing enemies while granting Volibear a Shield if he's inside the blast radius.",Stormbringer,"Volibear leaps to a target location, Slowing and damaging enemies beneath him while gaining bonus Health.  Enemy towers near his landing location become temporarily disabled.",The Relentless Storm,"Volibear's Attacks and abilities grant Attack Speed, and eventually cause his Attacks to deal bonus magic damage to nearby enemies."
Karma,Inner Flame,"Karma sends forth a ball of spirit energy that explodes and deals damage upon hitting an enemy unit.  Mantra Bonus: In addition to the explosion, Mantra increases the destructive power of her Inner Flame, creating a cataclysm which deals damage after a short delay.",Focused Resolve,"Karma creates a tether between herself and a targeted enemy, dealing damage and revealing them. If the tether is not broken, the enemy will be rooted and damaged again.  Mantra Bonus: Karma strengthens the link, healing herself and extending the root duration.",Inspire,"Karma summons a protective shield that absorbs incoming damage and increases the Move Speed of the protected ally.  Mantra Bonus: Energy radiates out from her target, strengthening the initial shield and applying Inspire to nearby allied champions.",Mantra,Karma empowers her next ability to do an additional effect. Mantra is available at level 1 and does not require a skill point.,Gathering Fire,Karma's damaging abilities will reduce the cooldown of Mantra.
Caitlyn,Piltover Peacemaker,Caitlyn revs up her rifle for 1 second to unleash a penetrating shot that deals physical damage (deals less damage to subsequent targets).,Yordle Snap Trap,"Caitlyn sets a trap that, when sprung, reveals and immobilizes the enemy champion for 1.5 seconds, granting Caitlyn an empowered Headshot.",90 Caliber Net,Caitlyn fires a heavy net to slow her target. The recoil knocks Caitlyn back.,Ace in the Hole,"Caitlyn takes time to line up the perfect shot, dealing massive damage to a single target at a huge range. Enemy champions can intercept the bullet for their ally.",Headshot,"Every few basic attacks, or against a target she has trapped or netted, Caitlyn will fire a headshot dealing bonus damage that scales with her critical strike chance. On trapped or netted targets, Caitlyn's Headshot attack range is doubled."
Khazix,Taste Their Fear,"Deals physical damage to the target. Damage increased on <font color='#FFF673'>Isolated</font> targets. If he chooses to <font color='#00DD33'>Evolve Reaper Claws</font>, this refunds a percent of it's cooldown against <font color='#FFF673'>Isolated</font> targets. Kha'Zix also gains increased range on his basic attacks and Taste Their Fear.",Void Spike,"Kha'Zix fires exploding spikes that deal physical damage to enemies hit. Kha'Zix is healed if he is also within the explosion radius. If he chooses to <font color='#00DD33'>Evolve Spike Racks</font>, Void Spike now fires three spikes in a cone, slow enemies hit, and reveals enemy champions hit for 2 seconds. <font color='#FFF673'>Isolated</font> targets are slowed for extra.",Leap,"Kha'Zix leaps to an area, dealing physical damage upon landing. If he chooses to <font color='#00DD33'>Evolve Wings</font>, Leap's range increases by 200 and the cooldown resets on champion kill or assist.",Void Assault,"Each rank allows Kha'Zix to evolve one of his abilities, giving it a unique additional effect. When activated, Kha'Zix becomes <font color='#91d7ee'>Invisible</font>, triggering Unseen Threat and increasing Move Speed. If he chooses to <font color='#00DD33'>Evolve Adaptive Cloaking</font>, Void Assault gains increased <font color='#91d7ee'>Invisibility</font> duration, and an additional use.",Unseen Threat,"Nearby enemies that are <font color='#FFF673'>Isolated</font> from their allies are marked. Kha'Zix's abilities have interactions with <font color='#FFF673'>Isolated</font> targets.  When Kha'Zix is not visible to the enemy team, he gains Unseen Threat, causing his next basic attack against an enemy champion to deal bonus magic damage and slow them for a few seconds."
Twitch,Ambush,"Twitch becomes Camouflaged for a short duration and gains Move Speed. When leaving Camouflage, Twitch gains Attack Speed for a short duration.  When an enemy champion with Deadly Venom dies, Ambush's cooldown is reset.",Venom Cask,"Twitch hurls a cask of venom that explodes in an area, slowing targets and applying deadly venom to the target.",Contaminate,Twitch wreaks further havoc on poisoned enemies with a blast of his vile diseases.,Spray and Pray,"Twitch unleashes the full power of his crossbow, shooting bolts over a great distance that pierce all enemies caught in their path.",Deadly Venom,"Twitch's basic attacks infect the target, dealing true damage each second."
Graves,End of the Line,"Graves fires an explosive shell that detonates after 2 seconds, or 0.2 seconds if it strikes terrain.",Smoke Screen,Graves fires a smoke canister at the target area creating a cloud of smoke that reduces sight range. Enemies caught in the initial impact are dealt magic damage and have their Move Speed reduced briefly.,Quickdraw,"Graves dashes forward gaining an Armor boost for several seconds. If Graves dashes towards an enemy champion, gain two stacks of True Grit instead. Hitting enemies with basic attacks lowers the cooldown of this skill and refreshes the resistance boost.",Collateral Damage,"Graves fires an explosive shell dealing heavy damage to the first champion it hits. After hitting a champion or reaching the end of its range, the shell explodes dealing damage in a cone.",New Destiny,"Graves' shotgun has some unique properties. He must reload when he runs out of ammo. Attacks fire 4 bullets, which cannot pass through units. Non-champions struck by multiple bullets are knocked back."
Sejuani,Arctic Assault,"Sejuani charges forward, knocking enemies into the air. The charge stops after hitting an enemy champion.",Winter's Wrath,"Sejuani swings her mace twice, dealing damage, slowing enemies and applying Frost stacks.",Permafrost,Sejuani freezes and stuns an enemy champion that has maximum Frost stacks.,Glacial Prison,Sejuani throws her bola that freezes and stuns the first champion hit and creates an ice storm that slows other enemies.,Fury of the North,"After being out of combat, Sejuani gains Frost Armor which grants Armor and Magic Resist and immunity to slows. Frost Armor persists for a short time after Sejuani takes damage.  Sejuani can damage a stunned enemy to shatter it, dealing massive magic damage."
Janna,Howling Gale,"By creating a localized change in pressure and temperature, Janna is able to create a small storm that grows in size with time. She can activate the spell again to release the storm. On release this storm will fly towards the direction it was cast in, dealing damage and knocking away any enemies in its path.",Zephyr,Janna summons an air elemental that passively increases her Move Speed and enables her to pass through units. She may also activate this ability to deal damage and slow an enemy's Move Speed.,Eye Of The Storm,Janna conjures a defensive gale that shields an ally champion or turret from incoming damage and increases their Attack Damage.,Monsoon,"Janna surrounds herself in a magical storm, throwing enemies back. After the storm has settled, soothing winds heal nearby allies while the ability is active.",Tailwind,Janna's allies gain Move Speed moving towards her.  Janna deals a portion of bonus Move Speed as bonus magic damage on hit and with Zephyr.
Zoe,Paddle Star!,Zoe fires a missile that she can redirect in flight. Deals more damage the longer it flies in a straight line.,Spell Thief,"Zoe can pick up the remnants of enemy summoner spell and active item casts and cast them once herself. Whenever she casts a summoner spell, she gains 3 missiles that fire at the nearest target.",Sleepy Trouble Bubble,"Causes the target to become drowsy, then fall asleep. While asleep, the target's Magic Resist is reduced. The first source of damage that breaks the sleep is doubled, up to a cap.",Portal Jump,Blink to a nearby position for 1 second. Then blink back.,More Sparkles!,Zoe's next basic attack after casting a spell deals bonus magic damage.
Ashe,Ranger's Focus,"Ashe builds up Focus by attacking. At maximum Focus, Ashe can cast Ranger's Focus to consume all stacks of Focus, temporarily increasing her Attack Speed and transforming her basic attack into a powerful flurry attack for the duration.",Volley,Ashe fires arrows in a cone for increased damage. Also applies Frost Shot.,Hawkshot,Ashe sends her Hawk Spirit on a scouting mission anywhere on the map.,Enchanted Crystal Arrow,"Ashe fires a missile of ice in a straight line. If the arrow collides with an enemy Champion, it deals damage and stuns the Champion, stunning for longer the farther arrow has traveled. In addition, surrounding enemy units take damage and are slowed.",Frost Shot,"Ashe's attacks slow their target, causing her to deal increased damage to these targets.  Ashe's critical strikes deal no bonus damage but apply an empowered slow to the target."
